nome;sobrenome;email;cpf;matricula
Daniel;Arrais de Carvalho;adilio-vidaloka@yahoo.com.br;064.127.213.80;fc20151493
Niporoi;Vonvu Inkadborgob;aaanika2@hotmail.com;168.392.523-88;fc20151493
Lurolo;Birozil Koraharzol;aaron2003s@bol.com.br;580.410.155-22;fc20151493
Whurfugan;Fiorezi Urcawou;aaron--21@hotmail.com;745.940.259-19;fc20151493
Kumal;Durur Ongog;abidoral@hotmail.com;618.085.570-69;fc20151493
Zaik;Syen Roytebin;abk_333@hotmail.com;173.253.110-28;fc20151493
Enburur;Falim Syugdub;abner_bim@hotmail.com;740.519.217-35;fc20151493
Nurwo;Lutomba Zouki;abner_bim@hotmail.com;670.881.080-89;fc20151493
Madaivi;Pehakh Fealuel;acacio_divix@hotmail.com;477.540.815-12;fc20151493
Boers;Tiial Luacodal;academia.boaforma@yahoo.com.br;738.782.309-07;fc20151493
Ryuri;Balpok Cetus;ac-ferian@bol.com.br;118.061.201-94;fc20151493
Zandîr;Orsin Ulbyudui;acordarsono@hotmail.com;532.765.876-70;fc20151493
Pinanma;Norval Wuodo;acsa_lim@yahoo.com.br;097.085.872-81;fc20151493
Huico;Olfigub Perin;adamyth@gmail.com;231.454.779-94;fc20151493
Ercuy;Tobu Ogruircuy;add_ae_jente@yahoo.com.br;926.400.875-68;fc20151493
Dirna;Foegoili Fuibuogul;addgeral@gmail.com;239.476.507-01;fc20151493
Usvuguk;Pepirump Kixyaxe;addyevusk@yahoo.com.br;801.814.524-56;fc20151493
Irfivar;Doyor Tarda;adeozemir@yahoo.com.br;447.108.283-34;fc20151493
Vesoaor;Bunior Hancawey;adhaha@gmail.com;528.113.766-23;fc20151493
Biorur;Foleurt Lil;adhaha@gmail.com;383.533.450-64;fc20151493
Earzyo;Fikiarak Blebin;adidas__star@hotmail.com;160.151.028-45;fc20151493
